Name	Gene	Distance
chr21:45116147-45116647	ADARB1	[0]
chr21:45117385-45117885	ADARB1	[0]
chr21:45117956-45118456	ADARB1	[0]
chr21:45122261-45122761	ADARB1	[0]
chr21:45125462-45125962	ADARB1	[0]
chr21:45128556-45129056	ADARB1	[0]
chr21:45130302-45130802	ADARB1	[0]
chr21:45132330-45132830	ADARB1	[0]
chr21:45137082-45137582	ADARB1	[0]
chr21:45138547-45139047	ADARB1	[0]
chr21:45140297-45140797	ADARB1	[0]
chr21:45147007-45147507	ADARB1	[0]
chr21:45148811-45149311	ADARB1	[0]
chr21:45152212-45152712	ADARB1	[0]
chr21:45153354-45153854	ADARB1	[0]
chr21:45154710-45155210	ADARB1	[0]
chr21:45155256-45155756	ADARB1	[0]
chr21:45161058-45161558	ADARB1	[0]
chr21:45164876-45165376	ADARB1	[0]
chr21:45169076-45169576	ADARB1	[0]
chr21:45179694-45180194	ADARB1	[0]
chr21:45184282-45184782	ADARB1	[0]
chr21:45192178-45192678	ADARB1	[0]
chr21:45197301-45197801	ADARB1	[0]
chr21:45199255-45199755	ADARB1	[0]
chr21:45200485-45200985	ADARB1	[0]
chr21:45204290-45204790	ADARB1	[0]
chr21:45207829-45208329	ADARB1	[0]
chr21:45209854-45210354	ADARB1	[0]
chr21:45212369-45212869	ADARB1	[0]
chr21:45216444-45216944	ADARB1	[0]
chr21:45220006-45220506	ADARB1	[0]
chr21:45223415-45223915	ADARB1	[0]
chr21:45224317-45224817	ADARB1	[0]
chr21:45225526-45226026	ADARB1	[0]
chr21:45226721-45227221	ADARB1	[-411]
chr21:45227995-45228495	ADARB1	[-1685]
chr21:45228856-45229356	ADARB1	[-2546]
chr21:45231927-45232427	ADARB1	[-5617]
chr21:45236401-45236901	ADARB1	[-10091]
chr21:45237813-45238313	ADARB1	[-11503]
chr21:45241947-45242447	ADARB1	[-15637]
chr21:45245011-45245511	ADARB1	[-18701]
chr21:45249112-45249612	ADARB1	[-22802]
chr21:45255953-45256453	ADARB1	[-29643]
chr21:45256669-45257169	ADARB1	[-30359]
chr21:45259517-45260017	ADARB1	[-33207]
chr21:45262566-45263066	ADARB1	[-36256]
chr21:45264469-45264969	ADARB1	[-38159]
chr21:45266461-45266961	ADARB1	[-40151]
chr21:45267520-45268020	ADARB1	[-41210]
chr21:45277217-45277717	ADARB1	[-50907]
chr21:45279961-45280461	ADARB1	[-53651]
chr21:45280692-45281192	ADARB1	[-54382]
chr21:45281510-45282010	ADARB1	[-55200]
chr21:45282647-45283147	ADARB1	[-56337]
chr21:45283429-45283929	ADARB1	[-57119]
chr21:45284515-45285015	ADARB1	[-58205]
chr21:45285396-45285896	ADARB1	[-59086]
chr21:45286864-45287364	ADARB1	[-60554]
chr21:45287747-45288247	ADARB1	[-61437]
chr21:45289148-45289648	ADARB1	[-62838]
chr21:45291315-45291815	ADARB1	[-65005]
chr21:45292385-45292885	ADARB1	[-66075]
chr21:45293792-45294292	ADARB1	[-67482]
chr21:45294524-45295024	ADARB1	[-68214]
chr21:45298423-45298923	ADARB1	[-72113]
chr21:45299027-45299527	ADARB1	[-72717]
chr21:45300248-45300748	ADARB1	[-73938]
chr21:45301123-45301623	ADARB1	[-74813]
chr21:45302104-45302604	ADARB1	[-75794]
chr21:45303913-45304413	ADARB1	[-77603]
chr21:45305020-45305520	ADARB1	[-78710]
chr21:45308938-45309438	ADARB1	[-82628]
chr21:45311834-45312334	ADARB1	[-85524]
chr21:45314639-45315139	ADARB1	[-88329]
chr21:45316952-45317452	ADARB1	[-90642]
chr21:45320484-45320984	ADARB1	[-94174]
chr21:45321503-45322003	ADARB1	[-95193]
chr21:45322359-45322859	ADARB1	[-96049]
chr21:45325079-45325579	ADARB1	[-98769]
chr21:45333353-45333853	ADARB1	[-107043]
chr21:45334412-45334912	ADARB1	[-108102]
chr21:45335629-45336129	ADARB1	[-109319]
chr21:45346322-45346822	ADARB1	[-120012]
chr21:45347761-45348261	ADARB1	[-121451]
chr21:45349185-45349685	ADARB1	[-122875]
chr21:45355382-45355882	ADARB1	[-129072]
chr21:45363749-45364249	ADARB1	[-137439]
chr21:45364260-45364760	ADARB1	[-137950]
chr21:45366909-45367409	ADARB1	[-140599]
chr21:45369813-45370313	ADARB1	[-143503]
chr21:45373351-45373851	ADARB1	[-147041]
chr21:44196166-44196666	AIRE	[89422]
chr21:44199170-44199670	AIRE	[86418]
chr21:44253448-44253948	AIRE	[32140]
chr21:44254356-44254856	AIRE	[31232]
chr21:44256065-44256565	AIRE	[29523]
chr21:44260401-44260901	AIRE	[25187]
chr21:44261625-44262125	AIRE	[23963]
chr21:44262696-44263196	AIRE	[22892]
chr21:44263217-44263717	AIRE	[22371]
chr21:44265012-44265512	AIRE	[20576]
chr21:44265992-44266492	AIRE	[19596]
chr21:44267554-44268054	AIRE	[18034]
chr21:44271821-44272321	AIRE	[13767]
chr21:44272522-44273022	AIRE	[13066]
chr21:44279520-44280020	AIRE	[6068]
chr21:44284005-44284505	AIRE	[1583]
chr21:44285536-44286036	AIRE	[52]
chr21:44286151-44286651	AIRE	[0]
chr21:44286772-44287272	AIRE	[0]
chr21:44289647-44290147	AIRE	[0]
chr21:44291196-44291696	AIRE	[0]
chr21:44291701-44292201	AIRE	[0]
chr21:44292751-44293251	AIRE	[0]
chr21:44293691-44294191	AIRE	[0]
chr21:44294304-44294804	AIRE	[0]
chr21:44295240-44295740	AIRE	[0]
chr21:44295751-44296251	AIRE	[0]
chr21:44296353-44296853	AIRE	[0]
chr21:44297036-44297536	AIRE	[0]
chr21:44297611-44298111	AIRE	[0]
chr21:44298298-44298798	AIRE	[0]
chr21:44299692-44300192	AIRE	[-1294]
chr21:44300302-44300802	AIRE	[-1904]
chr21:44300970-44301470	AIRE	[-2572]
chr21:44301846-44302346	AIRE	[-3448]
chr21:44303001-44303501	AIRE	[-4603]
chr21:44304052-44304552	AIRE	[-5654]
chr21:44304864-44305364	AIRE	[-6466]
chr21:44305367-44305867	AIRE	[-6969]
chr21:44306438-44306938	AIRE	[-8040]
chr21:44307565-44308065	AIRE	[-9167]
chr21:44309400-44309900	AIRE	[-11002]
chr21:44311152-44311652	AIRE	[-12754]
chr21:44312948-44313448	AIRE	[-14550]
chr21:44314151-44314651	AIRE	[-15753]
chr21:44316107-44316607	AIRE	[-17709]
chr21:44317242-44317742	AIRE	[-18844]
chr21:44318489-44318989	AIRE	[-20091]
chr21:44319344-44319844	AIRE	[-20946]
chr21:44320523-44321023	AIRE	[-22125]
chr21:44322062-44322562	AIRE	[-23664]
chr21:44324167-44324667	AIRE	[-25769]
chr21:44324769-44325269	AIRE	[-26371]
chr21:44325844-44326344	AIRE	[-27446]
chr21:44327169-44327669	AIRE	[-28771]
chr21:44327826-44328326	AIRE	[-29428]
chr21:44328574-44329074	AIRE	[-30176]
chr21:44329428-44329928	AIRE	[-31030]
chr21:44330166-44330666	AIRE	[-31768]
chr21:44331106-44331606	AIRE	[-32708]
chr21:44331621-44332121	AIRE	[-33223]
chr21:44332336-44332836	AIRE	[-33938]
chr21:44333186-44333686	AIRE	[-34788]
chr21:44333953-44334453	AIRE	[-35555]
chr21:44335107-44335607	AIRE	[-36709]
chr21:44336287-44336787	AIRE	[-37889]
chr21:44336835-44337335	AIRE	[-38437]
chr21:44338439-44338939	AIRE	[-40041]
chr21:44339091-44339591	AIRE	[-40693]
chr21:44341544-44342044	AIRE	[-43146]
chr21:44344676-44345176	AIRE	[-46278]
chr21:44346128-44346628	AIRE	[-47730]
chr21:44348065-44348565	AIRE	[-49667]
chr21:44348831-44349331	AIRE	[-50433]
chr21:44349945-44350445	AIRE	[-51547]
chr21:44350804-44351304	AIRE	[-52406]
chr21:44351913-44352413	AIRE	[-53515]
chr21:44353107-44353607	AIRE	[-54709]
chr21:44353872-44354372	AIRE	[-55474]
chr21:44355297-44355797	AIRE	[-56899]
chr21:44356591-44357091	AIRE	[-58193]
chr21:44358073-44358573	AIRE	[-59675]
chr21:44360064-44360564	AIRE	[-61666]
chr21:44360781-44361281	AIRE	[-62383]
chr21:44364470-44364970	AIRE	[-66072]
chr21:44365158-44365658	AIRE	[-66760]
chr21:44366283-44366783	AIRE	[-67885]
chr21:44368080-44368580	AIRE	[-69682]
chr21:44369922-44370422	AIRE	[-71524]
chr21:44374376-44374876	AIRE	[-75978]
chr21:44375121-44375621	AIRE	[-76723]
chr21:44377408-44377908	AIRE	[-79010]
chr21:44382429-44382929	AIRE	[-84031]
chr21:44384770-44385270	AIRE	[-86372]
chr21:44390911-44391411	AIRE	[-92513]
chr21:44391635-44392135	AIRE	[-93237]
chr21:44394685-44395185	AIRE	[-96287]
chr21:44397413-44397913	AIRE	[-99015]
chr21:44410189-44410689	AIRE	[-111791]
chr21:44414045-44414545	AIRE	[-115647]
chr21:44418397-44418897	AIRE	[-119999]
chr21:44423294-44423794	AIRE	[-124896]
chr21:44423944-44424444	AIRE	[-125546]
chr21:44425857-44426357	AIRE	[-127459]
chr21:44427212-44427712	AIRE	[-128814]
chr21:44427728-44428228	AIRE	[-129330]
chr21:44428549-44429049	AIRE	[-130151]
chr21:44430052-44430552	AIRE	[-131654]
chr21:44434628-44435128	AIRE	[-136230]
chr21:44437622-44438122	AIRE	[-139224]
chr21:44438619-44439119	AIRE	[-140221]
chr21:44442485-44442985	AIRE	[-144087]
chr21:44444351-44444851	AIRE	[-145953]
chr21:29046421-29046921	BACH1	[147400]
chr21:29050296-29050796	BACH1	[143525]
chr21:29052962-29053462	BACH1	[140859]
chr21:29054873-29055373	BACH1	[138948]
chr21:29055696-29056196	BACH1	[138125]
chr21:29057063-29057563	BACH1	[136758]
chr21:29058507-29059007	BACH1	[135314]
chr21:29062570-29063070	BACH1	[131251]
chr21:29064834-29065334	BACH1	[128987]
chr21:29069376-29069876	BACH1	[124445]
chr21:29071873-29072373	BACH1	[121948]
chr21:29073512-29074012	BACH1	[120309]
chr21:29075723-29076223	BACH1	[118098]
chr21:29076670-29077170	BACH1	[117151]
chr21:29079131-29079631	BACH1	[114690]
chr21:29080412-29080912	BACH1	[113409]
chr21:29082153-29082653	BACH1	[111668]
chr21:29086985-29087485	BACH1	[106836]
chr21:29090053-29090553	BACH1	[103768]
chr21:29092584-29093084	BACH1	[101237]
chr21:29095095-29095595	BACH1	[98726]
chr21:29096546-29097046	BACH1	[97275]
chr21:29097945-29098445	BACH1	[95876]
chr21:29098517-29099017	BACH1	[95304]
chr21:29099116-29099616	BACH1	[94705]
chr21:29099883-29100383	BACH1	[93938]
chr21:29102779-29103279	BACH1	[91042]
chr21:29106879-29107379	BACH1	[86942]
chr21:29108379-29108879	BACH1	[85442]
chr21:29111346-29111846	BACH1	[82475]
chr21:29118711-29119211	BACH1	[75110]
chr21:29121783-29122283	BACH1	[72038]
chr21:29125149-29125649	BACH1	[68672]
chr21:29128590-29129090	BACH1	[65231]
chr21:29137373-29137873	BACH1	[56448]
chr21:29143372-29143872	BACH1	[50449]
chr21:29144708-29145208	BACH1	[49113]
chr21:29145320-29145820	BACH1	[48501]
chr21:29148407-29148907	BACH1	[45414]
chr21:29155368-29155868	BACH1	[38453]
chr21:29156995-29157495	BACH1	[36826]
chr21:29159150-29159650	BACH1	[34671]
chr21:29159794-29160294	BACH1	[34027]
chr21:29161764-29162264	BACH1	[32057]
chr21:29163166-29163666	BACH1	[30655]
chr21:29164276-29164776	BACH1	[29545]
chr21:29165463-29165963	BACH1	[28358]
chr21:29166240-29166740	BACH1	[27581]
chr21:29170906-29171406	BACH1	[22915]
chr21:29172188-29172688	BACH1	[21633]
chr21:29173564-29174064	BACH1	[20257]
chr21:29176630-29177130	BACH1	[17191]
chr21:29182105-29182605	BACH1	[11716]
chr21:29182781-29183281	BACH1	[11040]
chr21:29183963-29184463	BACH1	[9858]
chr21:29185114-29185614	BACH1	[8707]
chr21:29190950-29191450	BACH1	[2871]
chr21:29193051-29193551	BACH1	[770]
chr21:29196279-29196779	BACH1	[0]
chr21:29198321-29198821	BACH1	[0]
chr21:29200265-29200765	BACH1	[0]
chr21:29203460-29203960	BACH1	[0]
chr21:29204380-29204880	BACH1	[0]
chr21:29207033-29207533	BACH1	[0]
chr21:29208402-29208902	BACH1	[0]
chr21:29212416-29212916	BACH1	[0]
chr21:29217747-29218247	BACH1	[0]
chr21:29219107-29219607	BACH1	[0]
chr21:29228309-29228809	BACH1	[0]
chr21:29232586-29233086	BACH1	[0]
chr21:29233179-29233679	BACH1	[0]
chr21:29235970-29236470	BACH1	[0]
chr21:29237379-29237879	BACH1	[0]
chr21:29237983-29238483	BACH1	[0]
chr21:29238819-29239319	BACH1	[0]
chr21:29240719-29241219	BACH1	[0]
chr21:29244907-29245407	BACH1	[0]
chr21:29248048-29248548	BACH1	[0]
chr21:29250627-29251127	BACH1	[0]
chr21:29252518-29253018	BACH1	[0]
chr21:29255026-29255526	BACH1	[0]
chr21:29256379-29256879	BACH1	[0]
chr21:29261970-29262470	BACH1	[0]
chr21:29264680-29265180	BACH1	[0]
chr21:29267037-29267537	BACH1	[0]
chr21:29268180-29268680	BACH1	[0]
chr21:29269543-29270043	BACH1	[0]
chr21:29271920-29272420	BACH1	[0]
chr21:29272627-29273127	BACH1	[0]
chr21:29274627-29275127	BACH1	[0]
chr21:29277499-29277999	BACH1	[0]
chr21:29283380-29283880	BACH1	[0]
chr21:29287394-29287894	BACH1	[0]
chr21:29290508-29291008	BACH1	[0]
chr21:29293464-29293964	BACH1	[0]
chr21:29295143-29295643	BACH1	[0]
chr21:29296494-29296994	BACH1	[0]
chr21:29298604-29299104	BACH1	[0]
chr21:29299902-29300402	BACH1	[0]
chr21:29301520-29302020	BACH1	[0]
chr21:29302244-29302744	BACH1	[0]
chr21:29304403-29304903	BACH1	[0]
chr21:29305150-29305650	BACH1	[0]
chr21:29306316-29306816	BACH1	[0]
chr21:29307877-29308377	BACH1	[0]
chr21:29308721-29309221	BACH1	[0]
chr21:29313474-29313974	BACH1	[0]
chr21:29316144-29316644	BACH1	[0]
chr21:29318800-29319300	BACH1	[0]
chr21:29323127-29323627	BACH1	[0]
chr21:29326751-29327251	BACH1	[0]
chr21:29329895-29330395	BACH1	[0]
chr21:29330918-29331418	BACH1	[0]
chr21:29332939-29333439	BACH1	[0]
chr21:29333956-29334456	BACH1	[0]
chr21:29335022-29335522	BACH1	[0]
chr21:29336749-29337249	BACH1	[0]
chr21:29340148-29340648	BACH1	[0]
chr21:29342406-29342906	BACH1	[0]
chr21:29344109-29344609	BACH1	[0]
chr21:29347360-29347860	BACH1	[0]
chr21:29348184-29348684	BACH1	[0]
chr21:29356196-29356696	BACH1	[0]
chr21:29356711-29357211	BACH1	[0]
chr21:29357832-29358332	BACH1	[0]
chr21:29361313-29361813	BACH1	[0]
chr21:29363754-29364254	BACH1	[0]
chr21:29367299-29367799	BACH1	[0]
chr21:29368749-29369249	BACH1	[0]
chr21:29371630-29372130	BACH1	[0]
chr21:29372302-29372802	BACH1	[0]
chr21:29376454-29376954	BACH1	[0]
chr21:29379474-29379974	BACH1	[0]
chr21:29381218-29381718	BACH1	[0]
chr21:29384771-29385271	BACH1	[0]
chr21:29404061-29404561	BACH1	[0]
chr21:29404795-29405295	BACH1	[0]
chr21:29411355-29411855	BACH1	[0]
chr21:29415279-29415779	BACH1	[0]
chr21:29418770-29419270	BACH1	[0]
chr21:29424796-29425296	BACH1	[0]
chr21:29434050-29434550	BACH1	[0]
chr21:29436160-29436660	BACH1	[0]
chr21:29438838-29439338	BACH1	[0]
chr21:29449335-29449835	BACH1	[0]
chr21:29453495-29453995	BACH1	[0]
chr21:29464110-29464610	BACH1	[0]
chr21:29476358-29476858	BACH1	[0]
chr21:29479140-29479640	BACH1	[0]
chr21:29482537-29483037	BACH1	[0]
chr21:29484936-29485436	BACH1	[0]
chr21:29488224-29488724	BACH1	[0]
chr21:29497017-29497517	BACH1	[0]
chr21:29499649-29500149	BACH1	[0]
chr21:29504237-29504737	BACH1	[0]
chr21:29515635-29516135	BACH1	[0]
chr21:29521188-29521688	BACH1	[0]
chr21:29524501-29525001	BACH1	[0]
chr21:29544621-29545121	BACH1	[0]
chr21:29545739-29546239	BACH1	[0]
chr21:29549488-29549988	BACH1	[0]
chr21:29552902-29553402	BACH1	[0]
chr21:29557172-29557672	BACH1	[0]
chr21:29562471-29562971	BACH1	[0]
chr21:29568246-29568746	BACH1	[0]
chr21:29572019-29572519	BACH1	[0]
chr21:29576199-29576699	BACH1	[0]
chr21:29587146-29587646	BACH1	[0]
chr21:29591031-29591531	BACH1	[0]
chr21:29601247-29601747	BACH1	[0]
chr21:29604363-29604863	BACH1	[0]
chr21:29606326-29606826	BACH1	[0]
chr21:29608165-29608665	BACH1	[0]
chr21:29619441-29619941	BACH1	[0]
chr21:29622803-29623303	BACH1	[0]
chr21:29632406-29632906	BACH1	[-1905]
chr21:29638029-29638529	BACH1	[-7528]
chr21:29638709-29639209	BACH1	[-8208]
chr21:29640009-29640509	BACH1	[-9508]
chr21:29647289-29647789	BACH1	[-16788]
chr21:29649321-29649821	BACH1	[-18820]
chr21:29656719-29657219	BACH1	[-26218]
chr21:29663027-29663527	BACH1	[-32526]
chr21:29667714-29668214	BACH1	[-37213]
chr21:29670600-29671100	BACH1	[-40099]
chr21:29674599-29675099	BACH1	[-44098]
chr21:29683553-29684053	BACH1	[-53052]
chr21:29685608-29686108	BACH1	[-55107]
chr21:29687173-29687673	BACH1	[-56672]
chr21:29696552-29697052	BACH1	[-66051]
chr21:29699766-29700266	BACH1	[-69265]
chr21:29709049-29709549	BACH1	[-78548]
chr21:29711042-29711542	BACH1	[-80541]
chr21:29713024-29713524	BACH1	[-82523]
chr21:29718370-29718870	BACH1	[-87869]
chr21:29720208-29720708	BACH1	[-89707]
chr21:29720906-29721406	BACH1	[-90405]
chr21:29726884-29727384	BACH1	[-96383]
chr21:29727576-29728076	BACH1	[-97075]
chr21:29739177-29739677	BACH1	[-108676]
chr21:29760494-29760994	BACH1	[-129993]
chr21:29762851-29763351	BACH1	[-132350]
chr21:29764254-29764754	BACH1	[-133753]
chr21:29765756-29766256	BACH1	[-135255]
chr21:29767149-29767649	BACH1	[-136648]
chr21:36236299-36236799	CHAF1B	[148805]
chr21:36237900-36238400	CHAF1B	[147204]
chr21:36239580-36240080	CHAF1B	[145524]
chr21:36241784-36242284	CHAF1B	[143320]
chr21:36245803-36246303	CHAF1B	[139301]
chr21:36253360-36253860	CHAF1B	[131744]
chr21:36253972-36254472	CHAF1B	[131132]
chr21:36254788-36255288	CHAF1B	[130316]
chr21:36255627-36256127	CHAF1B	[129477]
chr21:36258439-36258939	CHAF1B	[126665]
chr21:36260390-36260890	CHAF1B	[124714]
chr21:36262949-36263449	CHAF1B	[122155]
chr21:36263793-36264293	CHAF1B	[121311]
chr21:36265447-36265947	CHAF1B	[119657]
chr21:36267735-36268235	CHAF1B	[117369]
chr21:36273159-36273659	CHAF1B	[111945]
chr21:36275046-36275546	CHAF1B	[110058]
chr21:36277146-36277646	CHAF1B	[107958]
chr21:36282222-36282722	CHAF1B	[102882]
chr21:36285421-36285921	CHAF1B	[99683]
chr21:36288578-36289078	CHAF1B	[96526]
chr21:36289121-36289621	CHAF1B	[95983]
chr21:36295330-36295830	CHAF1B	[89774]
chr21:36298078-36298578	CHAF1B	[87026]
chr21:36298807-36299307	CHAF1B	[86297]
chr21:36299947-36300447	CHAF1B	[85157]
chr21:36301835-36302335	CHAF1B	[83269]
chr21:36304073-36304573	CHAF1B	[81031]
chr21:36309976-36310476	CHAF1B	[75128]
chr21:36311703-36312203	CHAF1B	[73401]
chr21:36315826-36316326	CHAF1B	[69278]
chr21:36318476-36318976	CHAF1B	[66628]
chr21:36319151-36319651	CHAF1B	[65953]
chr21:36319903-36320403	CHAF1B	[65201]
chr21:36321535-36322035	CHAF1B	[63569]
chr21:36322333-36322833	CHAF1B	[62771]
chr21:36322938-36323438	CHAF1B	[62166]
chr21:36324598-36325098	CHAF1B	[60506]
chr21:36326126-36326626	CHAF1B	[58978]
chr21:36327153-36327653	CHAF1B	[57951]
chr21:36329050-36329550	CHAF1B	[56054]
chr21:36330270-36330770	CHAF1B	[54834]
chr21:36330824-36331324	CHAF1B	[54280]
chr21:36344396-36344896	CHAF1B	[40708]
chr21:36347392-36347892	CHAF1B	[37712]
chr21:36365788-36366288	CHAF1B	[19316]
chr21:36377586-36378086	CHAF1B	[7518]
chr21:36378180-36378680	CHAF1B	[6924]
chr21:36379025-36379525	CHAF1B	[6079]
chr21:36379740-36380240	CHAF1B	[5364]
chr21:36385172-36385672	CHAF1B	[0]
chr21:36388679-36389179	CHAF1B	[0]
chr21:36394034-36394534	CHAF1B	[0]
chr21:36397365-36397865	CHAF1B	[0]
chr21:36402006-36402506	CHAF1B	[0]
chr21:36403428-36403928	CHAF1B	[0]
chr21:36408997-36409497	CHAF1B	[0]
chr21:36413872-36414372	CHAF1B	[0]
chr21:36414699-36415199	CHAF1B	[0]
chr21:36415961-36416461	CHAF1B	[0]
chr21:36419880-36420380	CHAF1B	[-1115]
chr21:36424361-36424861	CHAF1B	[-5596]
chr21:36426048-36426548	CHAF1B	[-7283]
chr21:36428120-36428620	CHAF1B	[-9355]
chr21:36429928-36430428	CHAF1B	[-11163]
chr21:36431247-36431747	CHAF1B	[-12482]
chr21:36436271-36436771	CHAF1B	[-17506]
chr21:36437108-36437608	CHAF1B	[-18343]
chr21:36443958-36444458	CHAF1B	[-25193]
chr21:36444827-36445327	CHAF1B	[-26062]
chr21:36447278-36447778	CHAF1B	[-28513]
chr21:36449635-36450135	CHAF1B	[-30870]
chr21:36450251-36450751	CHAF1B	[-31486]
chr21:36459098-36459598	CHAF1B	[-40333]
chr21:36474858-36475358	CHAF1B	[-56093]
chr21:36489455-36489955	CHAF1B	[-70690]
chr21:36490748-36491248	CHAF1B	[-71983]
chr21:36492427-36492927	CHAF1B	[-73662]
chr21:36498181-36498681	CHAF1B	[-79416]
chr21:36499617-36500117	CHAF1B	[-80852]
chr21:36504125-36504625	CHAF1B	[-85360]
chr21:36533070-36533570	CHAF1B	[-114305]
chr21:36552892-36553392	CHAF1B	[-134127]
chr21:36555009-36555509	CHAF1B	[-136244]
chr21:17753678-17754178	CHODL	[147335]
chr21:17755248-17755748	CHODL	[145765]
chr21:17758542-17759042	CHODL	[142471]
chr21:17765511-17766011	CHODL	[135502]
chr21:17766392-17766892	CHODL	[134621]
chr21:17772153-17772653	CHODL	[128860]
chr21:17775718-17776218	CHODL	[125295]
chr21:17779432-17779932	CHODL	[121581]
chr21:17780461-17780961	CHODL	[120552]
chr21:17781281-17781781	CHODL	[119732]
chr21:17781966-17782466	CHODL	[119047]
chr21:17784011-17784511	CHODL	[117002]
chr21:17784709-17785209	CHODL	[116304]
chr21:17785992-17786492	CHODL	[115021]
chr21:17788982-17789482	CHODL	[112031]
chr21:17789601-17790101	CHODL	[111412]
chr21:17792553-17793053	CHODL	[108460]
chr21:17793732-17794232	CHODL	[107281]
chr21:17794728-17795228	CHODL	[106285]
chr21:17795413-17795913	CHODL	[105600]
chr21:17798152-17798652	CHODL	[102861]
chr21:17799352-17799852	CHODL	[101661]
chr21:17803365-17803865	CHODL	[97648]
chr21:17804051-17804551	CHODL	[96962]
chr21:17808136-17808636	CHODL	[92877]
chr21:17812461-17812961	CHODL	[88552]
chr21:17813393-17813893	CHODL	[87620]
chr21:17814431-17814931	CHODL	[86582]
chr21:17818408-17818908	CHODL	[82605]
chr21:17819264-17819764	CHODL	[81749]
chr21:17831713-17832213	CHODL	[69300]
chr21:17833059-17833559	CHODL	[67954]
chr21:17834952-17835452	CHODL	[66061]
chr21:17841479-17841979	CHODL	[59534]
chr21:17846620-17847120	CHODL	[54393]
chr21:17853381-17853881	CHODL	[47632]
chr21:17854910-17855410	CHODL	[46103]
chr21:17857781-17858281	CHODL	[43232]
chr21:17865514-17866014	CHODL	[35499]
chr21:17869092-17869592	CHODL	[31921]
chr21:17869733-17870233	CHODL	[31280]
chr21:17885314-17885814	CHODL	[15699]
chr21:17886818-17887318	CHODL	[14195]
chr21:17892598-17893098	CHODL	[8415]
chr21:17900381-17900881	CHODL	[632]
